Draw id, Number of Tiers, apr, Total Yield Amount Out (usd), Total Liquidation Amount In (usd), Total Contrib (usd), Hook contrib (usd), POOL Vault Contrib. (usd), Start Draw Reward, Finish Draw Reward, tier0LiquidityRemaining, tier1LiquidityRemaining, tier2LiquidityRemaining, tier3LiquidityRemaining, tier4LiquidityRemaining, tier5LiquidityRemaining, tier6LiquidityRemaining, tier7LiquidityRemaining, tier8LiquidityRemaining, tier9LiquidityRemaining, tier10LiquidityRemaining, tier0PrizeSizes, tier1PrizeSizes, tier2PrizeSizes, tier3PrizeSizes, tier4PrizeSizes, tier5PrizeSizes, tier6PrizeSizes, tier7PrizeSizes, tier8PrizeSizes, tier9PrizeSizes, tier10PrizeSizes, tier0PrizeSizesUsd, tier1PrizeSizesUsd, tier2PrizeSizesUsd, tier3PrizeSizesUsd, tier4PrizeSizesUsd, tier5PrizeSizesUsd, tier6PrizeSizesUsd, tier7PrizeSizesUsd, tier8PrizeSizesUsd, tier9PrizeSizesUsd, tier10PrizeSizesUsd, tier0ClaimedPrizes, tier1ClaimedPrizes, tier2ClaimedPrizes, tier3ClaimedPrizes, tier4ClaimedPrizes, tier5ClaimedPrizes, tier6ClaimedPrizes, tier7ClaimedPrizes, tier8ClaimedPrizes, tier9ClaimedPrizes, tier10ClaimedPrizes, tier0ComputedPrizes, tier1ComputedPrizes, tier2ComputedPrizes, tier3ComputedPrizes, tier4ComputedPrizes, tier5ComputedPrizes, tier6ComputedPrizes, tier7ComputedPrizes, tier8ComputedPrizes, tier9ComputedPrizes, tier10ComputedPrizes
21,6,100000000000000000,$1102.342 USD,$999.886 USD,$1074.697 USD, $0.000 USD, $74.810 USD,13441963208987,96633546416054,18143545900829307500,11720402919034120300,2165801061923228300,142746562078469400,3014219666525576,3014219666525576,0,0,0,0,0,9071772950414653750,1465050364879265037,67681283185100884,1115207516238042,5887147786182,1471786946545,0,0,0,0,0,$29936.850 USD,$4834.666 USD,$223.348 USD,$3.680 USD,$0.019 USD,$0.004 USD,,,,,,0,0,0,66,257,0,0,0,0,0,0,0,0,0,66,257,998,0,0,0,0,0
22,6,100000000000000000,$1102.644 USD,$999.886 USD,$1074.125 USD, $0.000 USD, $74.238 USD,10079972360540,72464376061051,18218890180170037200,11795747198374850000,2241145341263958000,144487145347484500,3013771173629188,3013771173629188,0,0,0,0,0,9109445090085018600,1474468399796856250,70035791914498687,1128805823027222,5886271823494,1471567955873,0,0,0,0,0,$30061.168 USD,$4865.745 USD,$231.118 USD,$3.725 USD,$0.019 USD,$0.004 USD,,,,,,0,0,1,63,275,0,0,0,0,0,0,0,0,1,63,275,996,0,0,0,0,0
23,6,100000000000000000,$1102.946 USD,$999.886 USD,$1074.205 USD, $0.000 USD, $74.318 USD,7558090299463,54334702335861,18294215633645077100,11871072651849889900,2246435002824499200,148697831971804500,3013018139001596,3013018139001596,0,0,0,0,0,9147107816822538550,1483884081481236237,70201093838265600,1161701812279722,5884801052737,1471200263184,0,0,0,0,0,$30185.455 USD,$4896.817 USD,$231.663 USD,$3.833 USD,$0.019 USD,$0.004 USD,,,,,,0,0,1,63,251,0,0,0,0,0,0,0,0,1,63,251,1011,0,0,0,0,0
24,6,100000000000000000,$1103.249 USD,$999.886 USD,$1074.254 USD, $0.000 USD, $74.367 USD,5671233195969,40770188681405,18369576506621041300,11946433524825854100,2251594781962197800,150871490774141300,3014434919038568,3014434919038568,0,0,0,0,0,9184788253310520650,1493304190603231762,70362336936318681,1178683521672978,5887568201247,1471892050311,0,0,0,0,0,$30309.801 USD,$4927.903 USD,$232.195 USD,$3.889 USD,$0.019 USD,$0.004 USD,,,,,,0,0,2,58,236,0,0,0,0,0,0,0,0,2,58,236,1002,0,0,0,0,0
25,6,100000000000000000,$1103.551 USD,$999.886 USD,$1074.340 USD, $0.000 USD, $74.454 USD,4254926501445,30588436464346,18444963984562725300,12021821002767538100,2186257586031244400,157895324458791300,3015499117667360,3015499117667360,0,0,0,0,0,9222481992281362650,1502727625345942262,68320549563476387,1233557222334307,5889646714194,1472411678548,0,0,0,0,0,$30434.190 USD,$4959.001 USD,$225.457 USD,$4.070 USD,$0.019 USD,$0.004 USD,,,,,,0,0,1,58,265,0,0,0,0,0,0,0,0,1,58,265,1031,0,0,0,0,0
26,6,100000000000000000,$1103.853 USD,$999.886 USD,$1299.852 USD, $225.447 USD, $74.518 USD,3850004518766,27677474233625,18535914911097800200,12112771929302613000,2140567413439366500,177299932098471000,3638037061402996,3638037061402996,0,0,0,0,0,9267957455548900100,1514096491162826625,66892731669980203,1385155719519304,7105541135552,1776385283888,0,0,0,0,0,$30584.259 USD,$4996.518 USD,$220.746 USD,$4.571 USD,$0.023 USD,$0.005 USD,,,,,,0,0,2,51,212,0,0,0,0,0,0,0,0,2,51,212,861,0,0,0,0,0
27,6,100000000000000000,$1104.156 USD,$999.886 USD,$6131.887 USD, $5042.063 USD, $89.937 USD,13508229104464,97109928354173,18961398724397376800,11024159251439362900,2432265763398982500,518289246507364200,17019352531983064,17019352531983064,0,0,0,0,0,9480699362198688400,1378019906429920362,76008305106218203,4049134738338782,33240922914029,8310230728507,0,0,0,0,0,$31286.307 USD,$4547.465 USD,$250.827 USD,$13.362 USD,$0.109 USD,$0.027 USD,,,,,,0,0,0,8,42,192,0,0,0,0,0,0,0,0,8,42,192,0,0,0,0,0
28,6,100000000000000000,$1104.458 USD,$999.886 USD,$2352.351 USD, $931.600 USD, $420.863 USD,4306446871068,23219110211066,19097043702159015100,11159804229201001200,2491902436054402500,415035274707013300,135644977761638300,5425799110465532,0,0,0,0,0,9548521851079507550,1394975528650125150,77871951126700078,3242463083648541,264931597190699,2649315971906,0,0,0,0,0,$31510.122 USD,$4603.419 USD,$256.977 USD,$10.700 USD,$0.874 USD,$0.008 USD,,,,,,0,0,0,1,153,0,0,0,0,0,0,0,0,0,1,153,615,0,0,0,0,0
29,7,100000000000000000,$1104.761 USD,$999.886 USD,$1238.954 USD, $104.869 USD, $134.197 USD,315396361875073,13357100346410,19201085792947105600,11263846319989091700,2595944526842493000,509349976244158000,4161683631523620,4161683631523620,0,0,0,0,0,9600542896473552800,1407980789998636462,81123266463827906,3979296689407484,8128288342819,2032072085704,0,0,0,0,0,$31681.791 USD,$4646.336 USD,$267.706 USD,$13.131 USD,$0.026 USD,$0.006 USD,$0.000 USD,,,,,0,0,0,60,241,0,0,0,0,0,0,0,0,0,60,241,922,0,0,0,0,0
30,6,100000000000000000,$1105.064 USD,$999.886 USD,$1474.405 USD, $372.602 USD, $101.916 USD,235113754566134,9957115528825,19304497370906427100,11367257897948413200,2618232838337986500,342169379323769500,4136463118372860,4136463118372860,0,0,0,0,0,9652248685453213550,1420907237243551650,81819776198062078,2673198275966949,8079029528071,2019757382017,0,0,0,0,0,$31852.420 USD,$4688.993 USD,$270.005 USD,$8.821 USD,$0.026 USD,$0.006 USD,,,,,,0,0,1,47,196,0,0,0,0,0,0,0,0,1,47,196,790,0,0,0,0,0
